STEP;C11;NP;OCB;OCC;OCW;WBL;WYC;TOTAL
121;1403.4327392578125;1.1766645908355713;1512.983642578125;21556.921875;10290.7431640625;6301.42236328125;26724.6875;67790.9375
122;1406.78271484375;0.0;1506.93603515625;21632.5625;10408.4501953125;5995.3642578125;26257.32421875;67206.875
123;1313.1480712890625;0.0;1561.45556640625;21264.34375;9687.5869140625;6197.5244140625;26075.900390625;66099.40625
124;1577.8173828125;0.0;1840.1304931640625;21355.259765625;10075.7080078125;6339.41015625;26113.576171875;67301.4375
125;1318.2227783203125;0.0;1644.0577392578125;21366.517578125;10349.2685546875;6282.84326171875;25908.76953125;66869.2109375
126;1320.3880615234375;0.0;1604.865966796875;22344.279296875;9959.4833984375;6085.21240234375;25883.46875;67197.3125
127;1380.27685546875;0.0;1611.3951416015625;22075.08203125;10332.033203125;6074.29052734375;26545.841796875;68018.40625
128;1451.1688232421875;0.0;1541.048095703125;22236.400390625;10531.970703125;6301.5654296875;26310.548828125;68372.484375
129;1372.6412353515625;0.0;1828.8551025390625;23130.548828125;10621.55859375;6242.14453125;27038.712890625;70234.0
130;1186.9232177734375;0.0;1677.531005859375;22012.224609375;10290.8779296875;5930.80615234375;26526.529296875;67624.2421875
131;1292.8563232421875;0.0;1544.206298828125;22505.2109375;10717.3916015625;6398.80859375;27061.794921875;69520.2265625
132;1349.3109130859375;1.1766647100448608;1417.0145263671875;21576.9375;10526.314453125;6380.130859375;26579.9765625;67830.40625
133;1371.6451416015625;0.2353329360485077;1551.914306640625;21692.337890625;10650.0849609375;6406.09814453125;26654.1796875;68326.125
134;1303.309326171875;0.0;1785.98193359375;22091.345703125;10593.4384765625;6175.52587890625;26633.29296875;68582.3671875
135;1425.4390869140625;0.0;1741.9849853515625;22040.060546875;10321.0439453125;6008.22998046875;27122.9140625;68659.3359375
136;1365.073486328125;0.0;1791.1854248046875;21535.525390625;10205.9482421875;6159.46484375;27724.87109375;68781.59375
137;1547.453369140625;0.0;1933.604736328125;21811.40234375;10140.6533203125;6017.98828125;27704.662109375;69155.3828125
138;1343.94677734375;0.2353329360485077;1888.9779052734375;20927.462890625;10045.5009765625;6082.37109375;27108.5703125;67396.6171875
139;1544.7498779296875;0.0;1948.2506103515625;21250.890625;10128.80078125;6092.08154296875;28002.673828125;68966.8515625
140;1646.992431640625;0.0;1868.692138671875;21915.404296875;9905.9140625;5786.48046875;27918.16015625;69041.1796875
