STEP;C11;NP;OCB;OCC;OCW;WYC;TOTAL
151;1101.4141845703125;0.0;742.75;7142.95166015625;1513.5882568359375;14095.607421875;24596.255859375
152;1119.7161865234375;0.0;645.0407104492188;7205.548828125;1705.4429931640625;14312.765625;24988.529296875
153;1114.697998046875;0.0;674.2976684570313;6885.21435546875;1536.722412109375;14235.3564453125;24446.2734375
154;1121.4840087890625;0.0;750.620361328125;7215.830078125;1699.3489990234375;13887.224609375;24674.48828125
155;992.6109619140625;0.0;826.0123291015625;6910.48193359375;1638.0501708984375;14065.2490234375;24432.443359375
156;1147.822265625;0.0;621.0819091796875;7001.93798828125;1554.5958251953125;13828.21875;24153.6796875
157;918.2351684570313;0.0;737.1538696289063;7020.51220703125;1490.7200927734375;14131.48828125;24298.1328125
158;1153.2010498046875;0.0;785.2803344726563;6851.64990234375;1447.18505859375;14235.9638671875;24473.32421875
159;1267.1512451171875;0.0;701.0138549804688;6955.56689453125;1695.86376953125;13939.177734375;24558.8046875
160;1194.1346435546875;0.0;733.64208984375;6942.421875;1409.726318359375;14003.333984375;24283.326171875
161;1180.8798828125;0.0;654.1558837890625;6728.91357421875;1411.8214111328125;13959.33984375;23935.1328125
162;1071.184814453125;0.0;634.9535522460938;6780.02587890625;1189.6270751953125;14419.9052734375;24095.70703125
163;1106.40625;0.0;728.2803955078125;6860.41845703125;1218.2650146484375;14297.0517578125;24210.3828125
164;1081.680419921875;0.0;617.23388671875;6956.97314453125;1430.025634765625;13514.0556640625;23599.93359375
165;1212.8902587890625;0.0;702.5316162109375;6759.5009765625;1418.2938232421875;14200.33984375;24293.580078125
166;1244.5166015625;0.0;756.8685913085938;6871.69140625;1516.028076171875;13806.861328125;24195.9140625
167;1309.6973876953125;0.0;663.9488525390625;6894.58056640625;1497.9412841796875;13415.1025390625;23781.271484375
168;1337.74853515625;0.0;950.4862670898438;6984.93505859375;1480.7218017578125;13869.1337890625;24623.0234375
169;1258.0977783203125;0.0;601.3704223632813;7183.99755859375;1483.4774169921875;13687.0654296875;24214.01953125
170;1133.91796875;0.0;762.220703125;6941.41064453125;1625.802978515625;13442.060546875;23905.421875
171;1130.12109375;0.0;742.2456665039063;6960.2685546875;1632.2080078125;13610.1845703125;24075.033203125
172;1145.3106689453125;0.0;737.3475341796875;7112.20458984375;1597.204833984375;13608.59375;24200.640625
173;1176.1461181640625;0.0;569.5501708984375;7115.607421875;1602.2548828125;13413.3212890625;23876.91796875
174;1179.37451171875;0.0;538.685791015625;7075.0771484375;1446.825439453125;13479.6318359375;23719.5859375
175;1185.1605224609375;0.2353329360485077;645.1532592773438;7059.091796875;1564.7353515625;13649.8720703125;24104.2421875
176;1013.364990234375;0.0;658.3275756835938;6775.56640625;1668.7730712890625;13900.5361328125;24016.541015625
177;1215.3802490234375;0.0;579.0736083984375;6633.59228515625;1555.3072509765625;13976.2099609375;23959.552734375
